,quality
2331,5
4242,7
127,7
4609,4
2429,6
2252,5
2128,6
4344,6
2962,5
2656,4
67,5
981,7
3491,6
3029,8
3703,6
2141,5
2366,5
478,6
4254,5
2781,6
2966,6
611,6
336,6
2887,5
2058,5
364,7
708,6
1018,6
379,7
581,5
1172,6
1830,7
2228,7
3014,6
3623,6
2909,6
1037,5
1210,6
3746,5
1535,6
2268,6
913,5
3596,7
457,5
4677,7
821,6
197,5
4390,5
3860,5
3374,5
2280,6
3179,4
3248,7
591,6
2317,5
485,6
475,5
3557,6
423,6
824,5
2062,5
4669,5
1425,6
3063,5
227,6
2471,7
2587,6
217,5
4817,6
2993,7
3254,5
734,5
3018,8
4240,6
1357,6
4029,6
3812,5
1617,6
3436,6
637,5
4154,5
2022,6
4247,6
2283,5
2111,5
1482,6
607,5
3176,6
350,7
4258,6
583,6
2146,6
4703,7
961,7
4079,6
576,6
4346,6
1642,7
4698,6
3246,6
603,5
4845,5
2644,6
3695,6
507,7
3177,5
1178,5
2833,7
1479,6
1419,7
575,6
1390,6
4227,7
498,5
4557,6
1528,6
1465,5
1176,7
4713,6
4172,6
2648,6
321,5
155,6
3614,5
829,7
624,5
3894,6
4523,5
4788,5
2382,8
100,5
3128,6
4133,6
3568,7
623,5
2951,5
2262,6
2482,6
2994,7
4586,6
1375,7
1136,8
3837,6
3453,6
3386,8
13,7
2481,6
243,6
3748,5
3320,5
2213,6
3056,5
4145,6
683,5
656,6
1346,7
2530,6
384,7
4229,6
254,6
3140,6
1072,7
4203,5
867,8
4633,6
1208,6
89,6
1926,6
4072,7
4455,5
1566,5
4468,6
2196,6
3080,6
1620,7
1773,6
1861,6
1271,5
1201,7
2790,6
2151,5
1010,6
4271,5
2386,4
673,6
569,6
4601,6
1387,6
4501,6
3846,6
1633,7
3209,5
3036,5
3297,5
960,6
4324,6
1999,6
178,4
4166,7
1908,7
2455,6
1008,7
1923,5
4467,5
3945,6
3231,6
3418,6
2699,6
3601,7
3202,7
284,5
2227,5
4716,6
1583,5
1394,7
2545,6
342,6
4146,7
2623,7
4364,6
784,5
3948,5
163,6
3022,5
3781,6
1317,5
3099,7
1684,7
2524,5
496,4
3680,6
237,6
4215,5
3707,6
72,5
3269,5
3705,6
2967,6
4507,5
756,5
2538,6
3764,8
2772,7
1325,7
3519,7
4372,6
3561,5
3189,5
4736,6
2180,6
2492,6
2888,4
1179,5
4441,6
715,7
4256,5
3514,6
1662,7
3134,6
513,6
1672,5
4121,6
2239,6
1,6
3891,5
1486,6
290,7
4221,6
112,5
346,7
4357,6
2198,5
232,6
1654,5
805,6
4012,6
1569,5
463,6
3009,6
4767,7
1714,5
468,5
3011,6
1849,6
1220,6
1791,5
1496,5
2415,5
213,6
657,5
3079,5
2823,6
3060,5
4491,6
3924,5
600,6
2071,6
3848,6
183,6
2143,7
1593,6
1080,7
4260,6
386,7
3770,4
3205,7
2539,5
3154,6
3336,6
1600,6
335,6
4584,6
4887,7
3364,6
1973,5
858,7
835,8
4869,6
1578,5
1626,6
2168,7
4581,6
3371,6
2187,5
943,7
4459,5
4414,7
594,5
2319,7
352,6
4811,6
1770,6
1291,6
4408,5
4135,5
4615,7
4837,6
357,6
2270,7
3278,5
3236,6
1538,6
2367,6
1101,6
2881,7
590,5
1145,5
3286,7
3734,5
2895,5
1300,6
3440,5
1842,6
3042,6
1153,6
900,7
4793,6
3721,5
3883,6
55,6
1857,5
2018,7
884,6
2070,6
4663,7
1056,6
1623,6
1455,5
1026,6
764,6
63,6
4389,4
3055,6
881,6
4729,5
256,7
1117,5
1267,7
257,7
1257,6
3578,4
870,5
4282,5
1630,5
2374,6
3303,7
3026,6
280,8
2365,5
4296,6
4308,6
3810,3
2800,5
3455,6
3913,6
3969,6
1580,5
2580,5
4892,5
375,7
612,5
800,6
484,5
4341,6
619,6
2418,5
3958,6
75,5
1874,5
4656,7
536,5
3394,5
691,6
1564,5
2192,6
926,5
1661,6
2771,6
3084,6
396,5
1590,6
2247,6
1060,7
1953,6
3986,6
1247,6
1206,6
96,6
7,6
327,6
4186,5
3215,6
3234,6
4530,6
1846,5
3652,6
2043,6
82,5
2413,4
1443,6
3016,6
3803,6
1625,6
2381,6
4129,7
690,4
1418,5
2095,5
4226,7
2108,6
2469,5
1697,6
4739,6
3806,5
2767,6
409,5
64,6
4575,7
998,6
3369,7
994,6
4678,6
830,6
4181,6
3294,6
3344,6
2091,5
304,6
2443,5
3261,5
4101,5
4524,6
1747,6
4424,6
2461,5
557,6
2142,5
4250,6
3547,6
3850,6
405,5
2520,5
2048,5
2093,5
1412,8
3604,6
2795,8
277,5
1454,5
3062,8
4356,5
1733,6
1629,6
2450,5
850,7
2028,6
4140,6
3962,7
2260,5
1962,5
2293,7
4047,6
6,6
1334,6
3216,5
2949,6
2667,7
4585,6
2704,6
4763,7
3726,7
1052,5
1432,7
855,7
2744,6
2754,5
1299,5
4743,5
1452,6
996,5
1055,5
4670,6
2851,5
3472,6
4028,6
1359,7
3005,6
3598,7
2458,6
1944,5
3025,7
3299,7
4285,6
2370,7
4070,5
1098,6
4844,6
2045,5
3166,6
4138,6
2416,6
196,5
3632,6
4251,6
3452,5
1250,7
2952,5
3200,7
1868,7
1125,6
2540,5
2907,6
21,7
115,4
3279,6
236,6
3119,5
4799,6
1180,5
3776,5
4606,5
2564,6
890,6
1236,6
1456,6
1727,6
722,6
4512,6
1931,3
3782,6
992,5
4099,6
158,8
3309,7
2585,7
1044,7
2046,5
2489,6
2613,5
1948,7
2986,7
1100,6
1545,6
4220,6
418,6
2224,7
3327,7
3978,7
2298,8
663,5
3804,5
4104,7
341,6
345,6
2555,7
4695,7
4822,6
4202,6
2300,7
2806,5
3380,7
1301,5
1503,7
1187,8
249,5
441,6
2709,5
3657,8
1035,6
2801,5
2052,5
2378,5
3156,5
3677,6
3757,5
4597,6
1043,5
240,5
825,6
3107,6
1358,8
1833,7
511,6
2332,6
3341,6
4322,7
2665,5
719,7
560,7
592,5
3148,6
4024,6
2982,6
4787,8
66,7
495,6
723,8
675,6
3573,6
1945,6
141,5
143,6
1118,5
1783,6
2926,8
4603,6
142,6
4759,6
2605,6
4547,6
2110,5
2431,5
2254,6
3377,6
1959,5
4617,7
754,5
4435,6
2827,7
711,6
4482,6
514,7
483,5
221,6
2125,5
4137,5
4147,7
211,7
2548,6
2181,6
3349,6
1847,5
2987,7
2602,6
2163,6
291,6
3921,5
3203,7
1746,5
4502,6
942,7
2078,6
3469,6
33,6
2384,8
2251,7
2322,6
2072,5
615,5
2334,5
937,5
1154,4
300,6
3164,6
4144,6
4277,5
1954,5
3529,7
3230,6
4252,6
3753,5
2437,6
3326,5
1701,5
3691,6
3402,6
3068,6
551,7
3065,6
2693,6
4055,6
3902,6
186,6
2930,8
1512,7
1298,6
1355,5
2223,6
4826,6
4550,6
2591,7
4872,5
4643,6
1075,7
2984,6
1592,6
1595,6
1700,6
1610,6
1338,5
2,6
114,5
1645,7
407,5
2468,6
707,6
4476,6
2619,6
3719,5
4268,6
2204,5
3791,5
1935,5
4857,6
2315,6
4088,6
3847,5
813,6
469,5
3868,6
4814,6
2799,7
4069,6
343,5
2494,4
2558,7
3064,5
585,6
366,6
1748,5
3041,6
4765,8
4107,6
333,5
2325,6
1017,6
37,6
4457,5
3963,7
3918,7
3799,5
458,6
3564,6
3825,6
1007,5
966,6
3704,6
2685,7
460,5
654,7
58,6
2778,7
2404,5
1601,6
435,7
3441,5
4214,5
2130,5
3587,6
2695,6
2284,5
2533,5
4540,6
2484,5
4666,5
3621,7
1348,8
4688,6
770,7
2245,7
2425,6
596,5
1424,6
558,5
4548,5
2349,5
2884,7
3186,4
3624,7
1402,8
116,6
4421,6
1303,6
1413,6
1508,6
3929,5
2978,6
4640,6
4450,6
1762,7
2089,6
1393,6
2675,7
668,6
3172,8
1184,7
4746,6
4360,5
4684,6
102,5
2617,7
4000,6
4134,6
2452,7
2470,5
437,8
4843,5
4375,6
3603,7
501,6
692,5
4039,4
577,7
3885,6
1577,4
2201,6
4245,5
2231,6
281,8
3580,5
253,3
2209,6
1720,7
3255,6
459,5
3153,6
3672,8
2383,6
4230,6
727,5
2140,5
1099,7
1499,6
109,5
3351,6
1240,6
3731,6
4675,6
4354,6
4621,7
4418,6
3027,5
907,8
3772,6
1942,5
3919,6
3968,6
1336,8
3736,4
2126,5
3807,5
2295,6
3856,6
208,5
3422,8
891,7
3951,5
3054,6
1248,7
2828,7
50,6
990,6
4776,6
1156,6
2348,6
4431,6
647,6
2278,6
298,6
4461,6
344,6
413,5
4658,6
3076,5
4466,5
2379,4
4290,5
1111,6
1135,6
2988,7
369,5
2690,6
447,6
1415,5
4612,5
1309,6
1755,6
3484,8
4334,8
2311,7
3033,6
1929,5
1343,6
3474,6
4318,7
3372,6
1207,5
3590,7
3256,6
3282,7
4664,7
3152,6
3193,5
1354,5
1612,7
3960,6
4754,6
4721,6
2385,5
1494,8
2432,5
3292,5
718,7
2177,7
903,6
4757,7
2049,7
1667,6
4610,6
2402,6
1006,6
862,6
2950,5
2327,6
4602,6
4112,6
4076,5
2330,6
2559,5
4804,4
2152,6
1473,6
4331,5
2498,5
2312,5
2981,7
3863,6
1045,5
4706,7
4188,6
2612,7
2127,5
2047,5
1638,5
888,6
4565,5
77,7
769,7
4432,6
3538,7
2923,6
2977,6
3567,6
3192,6
951,6
4750,5
3747,6
4867,6
2358,5
625,8
4043,7
3049,5
3878,5
2173,5
3720,7
4537,5
3935,5
2864,6
3956,5
154,6
4426,6
4503,7
3360,7
1899,7
3988,6
